date	pitch	roll
2015-03-07T06:55	-8.93814160404	-5.15662015618
2015-03-08T02:55	-9.11002894258	-5.78687373082
2015-03-08T22:55	-8.93814160404	-5.21391593569
2015-03-09T18:55	-9.11002894258	-5.84416951033
2015-03-10T14:55	-8.93814160404	-5.2712117152
2015-03-11T10:55	-8.93814160404	-5.21391593569
2015-03-12T06:55	-9.11002894258	-5.21391593569
2015-03-13T02:55	-8.93814160404	-5.15662015618
2015-03-13T22:55	-9.11002894258	-5.78687373082
2015-03-14T18:55	-8.93814160404	-5.21391593569
2015-03-15T14:55	-9.11002894258	-5.78687373082
2015-03-16T10:55	-8.93814160404	-5.78687373082
2015-03-17T06:55	-8.88084582453	-5.21391593569
2015-03-18T02:55	-8.93814160404	-5.15662015618
2015-03-18T22:55	-9.11002894258	-5.78687373082
2015-03-19T18:55	-8.88084582453	-5.21391593569
2015-03-20T14:55	-8.93814160404	-5.15662015618
2015-03-21T10:55	-8.88084582453	-5.15662015618
2015-03-22T06:55	-8.93814160404	-5.78687373082
2015-03-23T02:55	-8.93814160404	-5.78687373082
2015-03-23T22:55	-8.88084582453	-5.78687373082
2015-03-24T18:55	-9.11002894258	-5.78687373082
2015-03-25T14:55	-8.93814160404	-5.78687373082
2015-03-26T10:55	-8.93814160404	-5.78687373082
2015-03-27T06:55	-8.93814160404	-5.78687373082
2015-03-28T02:55	-8.93814160404	-5.78687373082
2015-03-28T22:55	-9.11002894258	-5.78687373082
2015-03-29T18:55	-9.11002894258	-5.78687373082
2015-03-30T14:55	-8.93814160404	-5.78687373082
2015-03-31T10:55	-8.93814160404	-5.84416951033
2015-04-01T06:55	-8.93814160404	-5.78687373082
2015-04-02T02:55	-8.88084582453	-5.21391593569
2015-04-02T22:55	-9.11002894258	-5.78687373082
2015-04-03T18:55	-9.11002894258	-5.78687373082
2015-04-04T14:55	-8.93814160404	-5.78687373082
2015-04-05T10:55	-8.88084582453	-5.15662015618
2015-04-06T06:55	-9.11002894258	-5.78687373082
2015-04-07T02:55	-8.88084582453	-5.15662015618
2015-04-07T22:55	-8.88084582453	-5.15662015618
